date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2022-06-02,002594.SZ,296.0,305.0,295.22,301.02,299.98,1.04,0.3467,177727.77,5355773.611,,,,,,
2022-06-06,002594.SZ,304.0,320.47,302.55,318.23,301.02,17.21,5.7172,294757.29,9260502.507,0.05717228091156756,0.05559768406219788,,,,
2022-06-07,002594.SZ,318.0,319.87,311.11,314.89,318.23,-3.34,-1.0496,200220.89,6296538.086,-0.010495553530465496,-0.010551020296723215,,,,
2022-06-08,002594.SZ,318.6,328.06,313.01,327.41,314.89,12.52,3.976,290513.4,9321932.807,0.03975991616119923,0.03898983665835359,,,,
2022-06-09,002594.SZ,334.03,334.8,321.0,322.41,327.41,-5.0,-1.5271,307541.72,10050640.39,-0.015271372285513563,-0.015389180626873054,316.79200000000003,,,
2022-06-10,002594.SZ,321.5,350.0,321.06,348.8,322.41,26.39,8.1852,438249.0,14790622.515,0.08185229986662934,0.07867466451365286,326.348,,,
2022-06-13,002594.SZ,346.0,358.86,340.6,348.8,348.8,0.0,0.0,360681.32,12573534.324,0.0,0.0,332.462,,,
2022-06-14,002594.SZ,342.0,344.79,327.23,343.59,348.8,-5.21,-1.4937,404789.34,13634616.448,-0.014936926605504719,-0.01504960595709013,338.20200000000006,,,
2022-06-15,002594.SZ,343.97,346.23,332.52,335.0,343.59,-8.59,-2.5001,303947.87,10285857.695,-0.025000727611397267,-0.025318554252668095,339.72,,,
2022-06-16,002594.SZ,335.5,342.7,333.41,336.0,335.0,1.0,0.2985,190172.45,6410739.474,0.0029850746268655914,0.00298062813813772,342.438,,,
2022-06-17,002594.SZ,330.1,341.2,327.07,338.0,336.0,2.0,0.5952,262147.59,8830738.834,0.005952380952380931,0.0059347355198145265,340.278,,,
2022-06-20,002594.SZ,338.08,348.66,335.02,342.18,338.0,4.18,1.2367,245415.57,8405361.56,0.012366863905325376,0.012291018913483637,338.954,,,
2022-06-21,002594.SZ,339.76,341.8,332.2,341.0,342.18,-1.18,-0.3448,197827.39,6666969.509,-0.0034484774095505655,-0.003454437112985732,338.436,,,
2022-06-22,002594.SZ,342.42,347.63,338.0,339.88,341.0,-1.12,-0.3284,186787.83,6412052.153,-0.0032844574780058755,-0.0032898631481762166,339.412,,,
2022-06-23,002594.SZ,344.7,354.05,338.0,353.5,339.88,13.62,4.0073,323142.26,11251775.974,0.04007296692950457,0.0392908712012869,342.912,,,
2022-06-24,002594.SZ,352.99,356.28,346.01,351.05,353.5,-2.45,-0.6931,235983.55,8273168.197,-0.006930693069306937,-0.00695482187336961,345.522,,,
2022-06-27,002594.SZ,352.07,357.0,348.33,349.69,351.05,-1.36,-0.3874,217155.24,7630684.845,-0.0038740920096852483,-0.00388161574217598,347.024,,,
2022-06-28,002594.SZ,347.0,358.8,342.71,352.9,349.69,3.21,0.918,269634.71,9447959.128,0.009179559038005047,0.00913768296014246,349.404,,,
2022-06-29,002594.SZ,349.99,350.0,331.49,331.61,352.9,-21.29,-6.0329,361146.02,12246017.195,-0.06032870501558507,-0.06222515105935172,347.75,,,
2022-06-30,002594.SZ,331.0,339.35,330.0,333.49,331.61,1.88,0.5669,220144.78,7372602.921,0.0056693103344289675,0.005653300276750221,343.748,336.47249999999997,,
