date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-01-03,600036.SH,37.08,37.78,36.53,37.58,37.26,0.32,0.8588,606266.16,2255334.391,,,,,,
2023-01-04,600036.SH,37.78,38.83,37.53,38.65,37.58,1.07,2.8473,836454.11,3207024.324,0.02847259180415107,0.02807478104811164,,,,
2023-01-05,600036.SH,38.99,39.27,38.4,38.5,38.65,-0.15,-0.3881,619085.19,2398823.818,-0.0038809831824061503,-0.003888533739692369,,,,
2023-01-06,600036.SH,38.66,38.93,37.89,38.38,38.5,-0.12,-0.3117,590006.99,2255711.424,-0.0031168831168830735,-0.003121750714184644,,,,
2023-01-09,600036.SH,38.41,39.1,38.41,38.8,38.38,0.42,1.0943,499148.86,1937276.819,0.010943199583115959,0.01088375604967366,38.382,,,
2023-01-10,600036.SH,38.78,38.8,38.16,38.25,38.8,-0.55,-1.4175,541971.59,2078031.131,-0.014175257731958713,-0.014276686356682862,38.516,,,
2023-01-11,600036.SH,38.38,39.18,38.14,38.92,38.25,0.67,1.7516,541706.98,2107076.772,0.017516339869281028,0.01736469704525945,38.57000000000001,,,
2023-01-12,600036.SH,39.11,39.15,38.73,39.05,38.92,0.13,0.334,304348.71,1185494.431,0.003340184994861106,0.003334618967890512,38.68,,,
2023-01-13,600036.SH,39.07,39.66,38.97,39.66,39.05,0.61,1.5621,463767.08,1825772.733,0.015620998719590329,0.015500246805955006,38.93599999999999,,,
2023-01-16,600036.SH,40.0,41.14,39.8,40.47,39.66,0.81,2.0424,880468.55,3569434.0,0.0204236006051437,0.020217835796124264,39.269999999999996,,,
2023-01-17,600036.SH,40.45,40.94,40.28,40.68,40.47,0.21,0.5189,432047.05,1752751.493,0.005189028910304039,0.005175612292585107,39.756,,,
2023-01-18,600036.SH,40.65,40.95,40.23,40.38,40.68,-0.3,-0.7375,294674.72,1191075.289,-0.007374631268436516,-0.007401958295667701,40.048,,,
2023-01-19,600036.SH,40.2,40.8,39.92,40.65,40.38,0.27,0.6686,472490.21,1910434.244,0.006686478454680511,0.0066642231091281375,40.368,,,
2023-01-20,600036.SH,40.98,41.1,40.68,41.05,40.65,0.4,0.984,413402.73,1692997.05,0.009840098400983877,0.009791999904617498,40.646,,,
2023-01-30,600036.SH,42.55,42.63,41.85,42.03,41.05,0.98,2.3873,1007007.4,4255796.7,0.023873325213154883,0.02359281311858829,40.958,,,
2023-01-31,600036.SH,42.35,42.35,41.21,41.21,42.03,-0.82,-1.951,642311.85,2677248.182,-0.019509873899595576,-0.019702703666299393,41.064,,,
2023-02-01,600036.SH,41.64,41.69,39.95,40.54,41.21,-0.67,-1.6258,916791.3,3709963.959,-0.016258189759767117,-0.016391804326872077,41.096,,,
2023-02-02,600036.SH,40.7,40.75,39.55,40.03,40.54,-0.51,-1.258,727232.93,2898996.931,-0.012580167735569803,-0.012659968019371724,40.971999999999994,,,
2023-02-03,600036.SH,39.79,39.79,39.01,39.3,40.03,-0.73,-1.8236,638163.64,2506324.574,-0.018236322757931633,-0.01840465412926678,40.622,,,
2023-02-06,600036.SH,38.72,38.74,37.88,38.35,39.3,-0.95,-2.4173,731000.66,2790029.317,-0.024173027989821794,-0.024469991061950268,39.886,39.624,,
2023-02-07,600036.SH,38.5,38.94,38.16,38.41,38.35,0.06,0.1565,426570.86,1643882.586,0.0015645371577572842,0.0015633145445480246,39.326,39.665499999999994,,0.24757783261664898
2023-02-08,600036.SH,38.5,38.92,38.36,38.49,38.41,0.08,0.2083,317065.28,1222704.068,0.0020827909398595246,0.002080624937841434,38.916000000000004,39.6575,,0.22579636407234438
2023-02-09,600036.SH,38.42,38.89,38.32,38.49,38.49,0.0,0.0,498174.81,1920854.681,0.0,0.0,38.608000000000004,39.657,,0.22535680854607237
2023-02-10,600036.SH,38.3,38.39,37.9,38.16,38.49,-0.33,-0.8574,411026.39,1567982.948,-0.00857365549493394,-0.008610620715569168,38.379999999999995,39.646,,0.22720920526219
