date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2024-01-02,000300.SH,3386.3522,3426.2684,3426.2684,3386.3522,3431.1099,-44.7577,-1.3045,116180726.0,184096097.449,,,,,,
2024-01-03,000300.SH,3378.2971,3379.7501,3392.8504,3362.6617,3386.3522,-8.0551,-0.2379,105613851.0,165099018.643,-0.0023786952816071683,-0.0023815288716185186,,,,
2024-01-04,000300.SH,3347.0519,3375.0207,3375.0207,3323.8647,3378.2971,-31.2452,-0.9249,106721013.0,165512262.699,-0.00924880171137099,-0.009291837436039434,,,,
2024-01-05,000300.SH,3329.1114,3341.3061,3372.5444,3313.5542,3347.0519,-17.9405,-0.536,126400574.0,182251664.948,-0.005360090173683885,-0.005374506997078489,,,,
2024-01-08,000300.SH,3286.0564,3322.6051,3333.516,3283.3421,3329.1114,-43.055,-1.2933,117429485.0,170761644.873,-0.012932880527818824,-0.013017238342875813,3345.3738,,,
2024-01-09,000300.SH,3292.4994,3286.7083,3304.6008,3273.8431,3286.0564,6.443,0.1961,109330465.0,172276323.045,0.0019607088910587045,0.0019587892102615333,3326.6032399999995,,,
2024-01-10,000300.SH,3277.129,3281.6692,3312.9161,3268.2471,3292.4994,-15.3704,-0.4668,94199366.0,159777649.838,-0.004668307608499567,-0.00467923818793512,3306.36962,,,
2024-01-11,000300.SH,3295.6717,3275.3086,3311.1137,3266.7911,3277.129,18.5427,0.5658,108789735.0,180978533.6,0.005658214858188293,0.005642267288734283,3296.0935799999997,,,
2024-01-12,000300.SH,3284.1667,3284.358,3310.4704,3279.6987,3295.6717,-11.505,-0.3491,96853555.0,156536022.3,-0.0034909423775431048,-0.003497049935115232,3287.10464,,,
2024-01-15,000300.SH,3280.9195,3270.1029,3306.9217,3261.2687,3284.1667,-3.2472,-0.0989,88851530.0,144331722.4,-0.0009887439635754003,-0.0009892330933307953,3286.0772600000005,,,
2024-01-16,000300.SH,3300.8762,3272.571,3300.8762,3260.4362,3280.9195,19.9567,0.6083,113276665.0,175650587.5,0.006082654572902468,0.006064229905750575,3287.75262,,,
2024-01-17,000300.SH,3229.082,3291.1392,3291.1392,3229.082,3300.8762,-71.7942,-2.175,108769728.0,173516385.2,-0.02175004321579832,-0.021990062068256426,3278.1432199999995,,,
2024-01-18,000300.SH,3274.7286,3214.2844,3279.2538,3171.6329,3229.082,45.6466,1.4136,174909168.0,256784536.8,0.014136091929533023,0.014037109111496884,3273.9546,,,
2024-01-19,000300.SH,3269.7763,3261.2393,3286.9415,3251.8136,3274.7286,-4.9523,-0.1512,118501408.0,191261807.1,-0.0015122779945794251,-0.0015134226411072569,3271.07652,,,
2024-01-22,000300.SH,3218.9016,3262.4685,3281.4205,3193.1776,3269.7763,-50.8747,-1.5559,148705628.0,225510031.8,-0.015559076625517143,-0.015681389433262163,3258.67294,,,
2024-01-23,000300.SH,3231.9329,3208.4316,3249.5306,3188.1259,3218.9016,13.0313,0.4048,122012000.0,193791168.6,0.004048368549072645,0.004040195954808554,3244.8842799999998,,,
2024-01-24,000300.SH,3277.1089,3245.9592,3281.4892,3190.4674,3231.9329,45.176,1.3978,154371954.0,219036341.6,0.01397801297174217,0.013881221474081462,3254.48966,,,
2024-01-25,000300.SH,3342.9189,3274.3391,3344.2426,3269.7943,3277.1089,65.81,2.0082,196833614.0,265521115.0,0.020081725083960444,0.019882746717866898,3268.1277200000004,,,
2024-01-26,000300.SH,3333.8213,3326.6465,3351.9692,3315.1265,3342.9189,-9.0976,-0.2721,180664005.0,238144899.5,-0.002721453996386236,-0.002725163884702412,3280.93672,,,
2024-01-29,000300.SH,3303.9604,3335.3936,3351.3715,3303.9604,3333.8213,-29.8609,-0.8957,184164795.0,244698013.6,-0.008956958790802605,-0.00899731349721521,3297.94848,3297.0181199999997,,
2024-01-30,000300.SH,3245.0387,3283.8977,3300.204,3244.9719,3303.9604,-58.9217,-1.7834,143649350.0,199592929.912,-0.017833658054739354,-0.01799459398974998,3300.56964,3289.952445,,0.17263583990401427
2024-01-31,000300.SH,3215.3518,3231.5425,3252.1475,3201.9264,3245.0387,-29.6869,-0.9148,153143469.0,215333349.921,-0.00914839628877162,-0.009190499849532225,3288.2182199999997,3281.8051800000003,,0.17445775015095608
2024-02-01,000300.SH,3217.7109,3202.2564,3251.7582,3191.8968,3215.3518,2.3591,0.0734,145516792.0,203815063.233,0.0007336988755008989,0.0007334298500620088,3263.1766199999997,3275.3381299999996,,0.17285987187631927
