date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2025-04-09,002594.SZ,319.8,328.0,313.66,324.6,327.51,-2.91,-0.8885,211938.56,6822376.377,,,,,,
2025-04-10,002594.SZ,334.5,347.06,334.0,336.4,324.6,11.8,3.6352,210895.78,7165511.481,0.03635243376463326,0.035707273018302024,,,,
2025-04-11,002594.SZ,337.0,357.55,336.4,354.98,336.4,18.58,5.5232,189944.93,6621821.827,0.05523186682520831,0.053760521761407686,,,,
2025-04-14,002594.SZ,363.2,363.7,355.6,359.0,354.98,4.02,1.1325,142069.17,5115484.103,0.011324581666572797,0.01126093862807844,,,,
2025-04-15,002594.SZ,364.6,365.0,357.33,359.97,359.0,0.97,0.2702,116515.57,4195947.009,0.002701949860724362,0.0026983061561284714,346.99,,,
2025-04-16,002594.SZ,356.62,357.0,348.1,352.15,359.97,-7.82,-2.1724,131827.93,4618462.218,-0.021724032558268935,-0.021963473452988058,352.5,,,
2025-04-17,002594.SZ,349.94,353.45,346.67,349.68,352.15,-2.47,-0.7014,85288.64,2985985.219,-0.007014056510009858,-0.007038770636360188,355.156,,,
2025-04-18,002594.SZ,347.9,347.9,344.0,346.0,349.68,-3.68,-1.0524,73860.13,2553879.767,-0.01052390757263788,-0.010579675497334868,353.36,,,
2025-04-21,002594.SZ,346.0,349.87,345.24,348.76,346.0,2.76,0.7977,74953.41,2609226.235,0.007976878612716787,0.007945231501890047,351.312,,,
2025-04-22,002594.SZ,348.76,356.93,346.78,354.84,348.76,6.08,1.7433,112122.06,3956085.869,0.017433191879802745,0.017282977092771896,350.28599999999994,,,
2025-04-23,002594.SZ,377.0,378.0,367.23,371.99,354.84,17.15,4.8332,247926.89,9216822.11,0.04833164243039123,0.04719998853901043,354.254,,,
2025-04-24,002594.SZ,372.48,374.6,363.35,366.0,371.99,-5.99,-1.6103,150892.11,5557113.199,-0.016102583402779702,-0.016233638790030334,357.51800000000003,,,
2025-04-25,002594.SZ,370.0,375.3,368.1,370.83,366.0,4.83,1.3197,133869.42,4975314.905,0.013196721311475423,0.013110403166475226,362.48400000000004,,,
2025-04-28,002594.SZ,367.13,367.13,356.56,360.0,370.83,-10.83,-2.9205,179783.2,6459136.36,-0.02920475689669122,-0.02963970511768579,364.732,,,
2025-04-29,002594.SZ,359.1,360.63,353.0,355.0,360.0,-5.0,-1.3889,118983.07,4237606.41,-0.01388888888888884,-0.01398624197473984,364.764,,,
2025-04-30,002594.SZ,354.9,354.93,349.3,353.09,355.0,-1.91,-0.538,130479.47,4599074.535,-0.005380281690140931,-0.0053948075311788645,360.984,,,
2025-05-06,002594.SZ,360.0,362.3,355.92,359.96,353.09,6.87,1.9457,148293.53,5326196.143,0.019456795717805564,0.01926993222151067,359.776,,,
2025-05-07,002594.SZ,365.0,365.68,358.14,359.2,359.96,-0.76,-0.2111,108839.9,3937980.382,-0.0021113457050783158,-0.002113577737703219,357.45,,,
2025-05-08,002594.SZ,356.52,361.98,355.7,359.28,359.2,0.08,0.0223,83381.69,2994908.337,0.0002227171492203972,0.00022269235143797806,357.3059999999999,,,
2025-05-09,002594.SZ,360.75,366.0,359.3,363.22,359.28,3.94,1.0966,143726.16,5218995.471,0.010966377198842192,0.01090668251086995,358.95,355.2475,,
2025-05-12,002594.SZ,365.0,370.28,360.58,370.28,363.22,7.06,1.9437,161370.17,5890708.994,0.019437255657728025,0.019250764908657948,362.38800000000003,357.53149999999994,,0.3511750650521107
