date,ts_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-07-13,600016.SH,3.78,3.82,3.77,3.82,3.77,0.05,1.3263,436511.19,166056.544,,,,,,
2023-07-14,600016.SH,3.81,3.87,3.81,3.86,3.82,0.04,1.0471,663782.01,255708.929,0.010471204188481575,0.01041676085825558,,,,
2023-07-17,600016.SH,3.84,3.88,3.82,3.88,3.86,0.02,0.5181,476953.08,183773.731,0.005181347150259086,0.005167970158442598,,,,
2023-07-18,600016.SH,3.88,3.91,3.85,3.89,3.88,0.01,0.2577,599550.74,232699.508,0.002577319587628857,0.0025740039951728426,,,,
2023-07-19,600016.SH,3.89,3.93,3.87,3.92,3.89,0.03,0.7712,495984.4,193486.2,0.007712082262210762,0.007682496172016211,3.874,,,
2023-07-20,600016.SH,3.92,3.95,3.9,3.91,3.92,-0.01,-0.2551,574999.17,225761.444,-0.0025510204081632404,-0.0025542798050967423,3.8920000000000003,,,
2023-07-21,600016.SH,3.91,3.93,3.9,3.93,3.91,0.02,0.5115,457141.41,179185.745,0.005115089514066584,0.005102051883895552,3.906,,,
2023-07-24,600016.SH,3.92,3.94,3.9,3.91,3.93,-0.02,-0.5089,449801.91,176318.648,-0.0050890585241730735,-0.00510205188389551,3.9120000000000004,,,
2023-07-25,600016.SH,3.92,3.96,3.92,3.93,3.91,0.02,0.5115,666398.89,262109.508,0.005115089514066584,0.005102051883895552,3.9200000000000004,,,
2023-07-26,600016.SH,3.93,3.95,3.91,3.93,3.93,0.0,0.0,491616.79,193185.946,0.0,0.0,3.9219999999999997,,,
2023-07-27,600016.SH,3.93,3.97,3.93,3.94,3.93,0.01,0.2545,526740.42,207911.715,0.0025445292620864812,0.002541297428672548,3.928,,,
2023-07-28,600016.SH,3.94,4.03,3.93,4.02,3.94,0.08,2.0305,1253626.75,500335.426,0.02030456852791862,0.020101179321087088,3.946,,,
2023-07-31,600016.SH,4.02,4.06,3.99,4.02,4.02,0.0,0.0,1086765.11,437060.846,0.0,0.0,3.968,,,
2023-08-01,600016.SH,4.02,4.03,3.99,4.01,4.02,-0.01,-0.2488,714089.26,286232.942,-0.0024875621890546595,-0.002490661312451808,3.9839999999999995,,,
2023-08-02,600016.SH,4.01,4.01,3.94,3.96,4.01,-0.05,-1.2469,1055061.78,418378.168,-0.012468827930174564,-0.01254721605208864,3.9899999999999998,,,
2023-08-03,600016.SH,3.95,4.0,3.95,4.0,3.96,0.04,1.0101,740670.18,294222.809,0.010101010101010166,0.010050335853501506,4.002,,,
2023-08-04,600016.SH,4.0,4.04,3.98,3.99,4.0,-0.01,-0.25,1096512.64,439860.288,-0.0024999999999999467,-0.002503130218118477,3.996,,,
2023-08-07,600016.SH,3.98,3.99,3.94,3.97,3.99,-0.02,-0.5013,778845.04,308309.203,-0.005012531328320802,-0.005025136202673043,3.9859999999999998,,,
2023-08-08,600016.SH,3.95,3.99,3.94,3.96,3.97,-0.01,-0.2519,622379.41,246655.918,-0.0025188916876575096,-0.0025220694327099465,3.976,,,
2023-08-09,600016.SH,3.96,4.01,3.95,4.0,3.96,0.04,1.0101,858940.36,342996.016,0.010101010101010166,0.010050335853501506,3.9840000000000004,3.9425,,
2023-08-10,600016.SH,4.0,4.02,3.97,4.02,4.0,0.02,0.5,643116.35,257088.346,0.004999999999999893,0.004987541511038968,3.9879999999999995,3.9525000000000006,,0.11524824710371707
2023-08-11,600016.SH,4.03,4.04,3.95,3.96,4.02,-0.06,-1.4925,815995.13,325659.129,-0.01492537313432829,-0.015037877364540446,3.982,3.9574999999999996,,0.12685700504590047
2023-08-14,600016.SH,3.93,3.93,3.87,3.88,3.96,-0.08,-2.0202,925232.66,360738.201,-0.02020202020202022,-0.020408871631207123,3.964,3.9574999999999996,,0.14698417784599013
2023-08-15,600016.SH,3.89,4.01,3.89,3.99,3.88,0.11,2.8351,1285787.5,509372.605,0.028350515463917647,0.027956077266590135,3.97,3.9625,,0.17806782913567928
2023-08-16,600016.SH,3.98,4.02,3.94,3.98,3.99,-0.01,-0.2506,696024.59,276993.294,-0.0025062656641604564,-0.002509411605425807,3.9659999999999997,3.9654999999999996,,0.17690032699923958
2023-08-17,600016.SH,3.98,4.0,3.92,3.94,3.98,-0.04,-1.005,946249.12,373409.013,-0.01005025125628145,-0.010101095986503933,3.95,3.967,,0.180755695348254
2023-08-18,600016.SH,3.94,4.02,3.93,3.97,3.94,0.03,0.7614,973395.89,388508.29,0.0076142131979695105,0.007585371389256564,3.9519999999999995,3.9690000000000003,,0.18182685263795423
2023-08-21,600016.SH,3.97,4.0,3.92,3.92,3.97,-0.05,-1.2594,798563.94,315905.881,-0.012594458438287215,-0.012674440896727937,3.96,3.9695,,0.18680777177268953
2023-08-22,600016.SH,3.93,4.0,3.92,3.99,3.92,0.07,1.7857,928929.76,369040.406,0.017857142857143016,0.017699577099401075,3.96,3.9725,,0.1964852747966106
2023-08-23,600016.SH,3.99,4.02,3.97,3.99,3.99,0.0,0.0,875038.12,349795.716,0.0,0.0,3.9619999999999997,3.9754999999999994,,0.1964852747966106
2023-08-24,600016.SH,3.98,4.0,3.94,3.96,3.99,-0.03,-0.7519,765841.98,303710.482,-0.007518796992481258,-0.007547205635382966,3.966,3.9765,,0.19855699757575604
2023-08-25,600016.SH,3.95,4.02,3.95,4.0,3.96,0.04,1.0101,911753.46,364849.214,0.010101010101010166,0.010050335853501506,3.972,3.9755000000000003,,0.18796159800260043
2023-08-28,600016.SH,4.12,4.16,4.0,4.01,4.0,0.01,0.25,1620797.3,657153.639,0.0024999999999999467,0.002496880198587146,3.9899999999999998,3.975,,0.1882032103033393
2023-08-29,600016.SH,4.01,4.03,3.95,3.97,4.01,-0.04,-0.9975,1146831.65,456547.467,-0.009975062344139585,-0.010025146619378707,3.9859999999999998,3.973,,0.19133579519804095
2023-08-30,600016.SH,3.96,3.98,3.92,3.93,3.97,-0.04,-1.0076,726037.76,285920.596,-0.010075566750629705,-0.01012666881792916,3.9739999999999993,3.9715000000000003,,0.18951894038077657
2023-08-31,600016.SH,3.89,3.91,3.78,3.78,3.93,-0.15,-3.8168,1770177.98,678512.677,-0.038167938931297773,-0.03891541624967361,3.938,3.9605000000000006,,0.22790426390683124
2023-09-01,600016.SH,3.79,3.84,3.78,3.82,3.78,0.04,1.0582,579064.97,220943.429,0.010582010582010692,0.010526412986987603,3.9019999999999997,3.9519999999999995,,0.23275563910144925
2023-09-04,600016.SH,3.83,3.92,3.82,3.88,3.82,0.06,1.5707,803547.45,311710.652,0.015706806282722585,0.01558473101669833,3.876,3.9475000000000002,,0.24076575618412194
2023-09-05,600016.SH,3.88,3.88,3.82,3.82,3.88,-0.06,-1.5464,585080.07,224527.239,-0.015463917525773252,-0.015584731016698316,3.846,3.9405,,0.24614781337924727
2023-09-06,600016.SH,3.82,3.83,3.79,3.8,3.82,-0.02,-0.5236,554196.11,210682.664,-0.005235602094240788,-0.005249355886143678,3.8199999999999994,3.9305,,0.24240102292249593
2023-09-07,600016.SH,3.8,3.8,3.76,3.78,3.8,-0.02,-0.5263,656404.68,248300.589,-0.0052631578947368585,-0.005277057100843781,3.8200000000000003,3.9184999999999994,,0.24095057547922358
2023-09-08,600016.SH,3.77,3.79,3.76,3.78,3.78,0.0,0.0,425842.94,160818.438,0.0,0.0,3.812,3.9095,,0.23691367423190765
2023-09-11,600016.SH,3.79,3.81,3.78,3.8,3.78,0.02,0.5291,718427.84,272608.861,0.005291005291005346,0.005277057100843819,3.7960000000000003,3.9055,,0.22837400071571984
2023-09-12,600016.SH,3.8,3.81,3.78,3.79,3.8,-0.01,-0.2632,387477.07,146781.984,-0.002631578947368318,-0.0026350476380050023,3.79,3.8954999999999997,,0.20043745612755012
2023-09-13,600016.SH,3.79,3.81,3.78,3.78,3.79,-0.01,-0.2639,444130.98,168316.82,-0.0026385224274406704,-0.0026420094628386965,3.786,3.8855000000000004,,0.20043813496114776
2023-09-14,600016.SH,3.79,3.86,3.78,3.85,3.78,0.07,1.8519,974465.18,373096.559,0.0185185185185186,0.018349138668196617,3.8,3.8809999999999993,,0.21150902615808237
2023-09-15,600016.SH,3.84,3.86,3.78,3.78,3.85,-0.07,-1.8182,810788.15,308749.061,-0.0181818181818183,-0.018349138668196655,3.8,3.8714999999999997,,0.2172058527951782
2023-09-18,600016.SH,3.79,3.8,3.76,3.8,3.78,0.02,0.5291,571208.43,215974.64,0.005291005291005346,0.005277057100843819,3.8,3.8654999999999995,,0.21529785226984452
2023-09-19,600016.SH,3.79,3.84,3.79,3.83,3.8,0.03,0.7895,874584.03,333769.093,0.007894736842105399,0.007863736460214672,3.808,3.8574999999999995,,0.20614913613612132
2023-09-20,600016.SH,3.83,3.87,3.82,3.85,3.83,0.02,0.5222,596695.93,229813.1,0.005221932114882533,0.00520834510713826,3.822,3.8505000000000003,,0.20763672604328218
2023-09-21,600016.SH,3.85,3.87,3.82,3.82,3.85,-0.03,-0.7792,594500.92,228091.596,-0.007792207792207906,-0.007822725681209156,3.816,3.8434999999999997,,0.20774055188601348
2023-09-22,600016.SH,3.83,3.84,3.79,3.83,3.82,0.01,0.2618,654719.1,250026.232,0.002617801047120505,0.0026143805740708936,3.8259999999999996,3.8349999999999995,,0.20375483703726255
2023-09-25,600016.SH,3.83,3.87,3.82,3.85,3.83,0.02,0.5222,709782.57,273474.133,0.005221932114882533,0.00520834510713826,3.836,3.8270000000000004,,0.2047945374082143
2023-09-26,600016.SH,3.86,3.86,3.82,3.82,3.85,-0.03,-0.7792,369805.29,141840.29,-0.007792207792207906,-0.007822725681209156,3.8340000000000005,3.8195,,0.2038047946889541
2023-09-27,600016.SH,3.83,3.85,3.81,3.82,3.82,0.0,0.0,416873.14,159475.679,0.0,0.0,3.8280000000000003,3.814,,0.20153337586859726
2023-09-28,600016.SH,3.82,3.85,3.81,3.84,3.82,0.02,0.5236,440390.83,168810.816,0.005235602094240788,0.005221943981151625,3.832,3.817,,0.1481631462417219
2023-10-09,600016.SH,3.8,3.81,3.65,3.66,3.84,-0.18,-4.6875,1426697.12,528545.404,-0.04687499999999989,-0.04800921918636049,3.7980000000000005,3.809,,0.22064494508592525
2023-10-10,600016.SH,3.67,3.69,3.63,3.65,3.66,-0.01,-0.2732,685361.61,250609.694,-0.002732240437158584,-0.00273597981887486,3.758,3.7974999999999994,,0.2104424589184032
2023-10-11,600016.SH,3.65,3.73,3.65,3.71,3.65,0.06,1.6438,833800.11,308430.312,0.016438356164383494,0.01630470902494357,3.7359999999999998,3.7920000000000003,,0.21571536011039388
2023-10-12,600016.SH,3.74,3.78,3.73,3.74,3.71,0.03,0.8086,885194.7,332334.373,0.008086253369272267,0.008053734807096825,3.72,3.789,3.8873333333333333,0.21772330707113033
2023-10-13,600016.SH,3.74,3.77,3.72,3.74,3.74,0.0,0.0,607536.45,227484.755,0.0,0.0,3.7,3.7870000000000004,3.886,0.21706225339871035
